Organization Name,Organization Name URL,Number of Employees,Heat Score Tier,Operating Status,IPO Status,Headquarters Location,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
WeldForce Group,https://www.crunchbase.com/organization/weldforce-group,101-250,High,Active,Private,"Houston, Texas, United States","Employment, Recruiting, Staffing Agency",WeldForce Group provides employment and recruitment services for various industries.,"1,304,303",,"1,260,407"
Princeton Classic Homes,https://www.crunchbase.com/organization/princeton-classic-homes,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Property Development, Real Estate, Residential",Princeton Classic Homes is a home builder company that provides residential property development and construction services.,"1,306,576",,"1,262,796"
Builders Equipment & Tool Company dba BETCO Scaffolds,https://www.crunchbase.com/organization/builders-equipment-tool-company-dba-betco-scaffolds,251-500,High,Active,Private,"Houston, Texas, United States","Building Material, Real Estate","Builders Equipment & Tool Company dba BETCO Scaffolds is a scaffolding construction, sale, rental, and installation firm.","1,306,590",,"1,262,655"
TECorp International,https://www.crunchbase.com/organization/tecorp-international,251-500,High,Active,Private,"Houston, Texas, United States","Asset Management, Construction, Consulting","TECorp International is a business consultancy company that offers design, construction, and asset development services.","1,306,865",,"1,262,938"
Bortunco Boring & Tunneling,https://www.crunchbase.com/organization/bortunco-boring-tunneling,101-250,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Consulting, Technical Support","Bortunco Boring & Tunneling is a construction industry, specializing in a variety of trenchless construction techniques.","1,309,455",,"1,265,483"
CFI Mechanical,https://www.crunchbase.com/organization/cfi-mechanical,251-500,High,Active,Private,"Houston, Texas, United States","Construction, Service Industry","CFI Mechanical provides new construction, mechanical services, and plumbing services to commercial and industrial clients.","1,309,955",,"1,265,967"
Haverhill Chemicals,https://www.crunchbase.com/organization/haverhill-chemicals,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,"Haverhill Chemicals firm that offers chemicals firm producing phenol, acetone, bisphenol A, and alpha methyl styrene.","1,315,226",,"1,271,142"
CEBS,https://www.crunchbase.com/organization/cebs,101-250,High,Active,Private,"Houston, Texas, United States","Information Services, Information Technology, Software",CEBS is a global IT company ,"1,315,312",,"1,271,232"
Southwest Schools,https://www.crunchbase.com/organization/southwest-schools,251-500,High,Active,Private,"Houston, Texas, United States",Education,Southwest Schools is an education management company that provides educational facilities.,"1,315,478",,"1,271,394"
Doctor's Clinic Houston,https://www.crunchbase.com/organization/doctor-s-clinic-houston,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Hospital, Medical, Therapeutics","Doctor's Clinic Houston is a healthcare organization that specializes in family medicine, therapy, skin care, and pain management services.","1,317,425",,"1,273,462"
Aztec Rental Center,https://www.crunchbase.com/organization/aztec-rental-center,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Industrial, Productivity Tools, Rental","Aztec Rental Center sells and rentals a wide range of industrial equipment, tools and machinery along with repair services.","1,317,899",,"1,273,926"
The SOS Group,https://www.crunchbase.com/organization/the-sos-group,251-500,High,Active,Private,"Houston, Texas, United States","Management Consulting, Marketing, Training",The SOS Group is a company that develops training tools and programs for business owners.,"1,319,546",,"1,275,390"
C. E. Shepherd,https://www.crunchbase.com/organization/c-e-shepherd,101-250,High,Active,Private,"Houston, Texas, United States","Electrical Distribution, Industrial, Industrial Engineering, Industrial Manufacturing, Manufacturing","C.E. Shepherd manufactures wire welding, PVC coating and other plastic products for industrial, residential and agricultural markets.","1,320,400",,"1,276,393"
Verbet Industries,https://www.crunchbase.com/organization/verbet-industries,501-1000,High,Active,Private,"Houston, Texas, United States","Electronics, Manufacturing, Mechanical Engineering","Verbet Industries manufactures and distributes a wide range of grilles, diffusers, louvers, dampers, ducts, fittings, and filters.","1,329,096",,"1,284,771"
Dupure,https://www.crunchbase.com/organization/dupure,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,Dupure is a construction company that provides water treatment and construction management services.,"1,333,778",,"1,289,390"
Entech Civil Engineers,https://www.crunchbase.com/organization/entech-civil-engineers,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, Civil Engineering, Construction","Entech Civil Engineers specializes in transportation design, traffic engineering, bridge infrastructure and construction management.","1,334,174",,"1,289,777"
Courthouse Square,https://www.crunchbase.com/organization/courthouse-square,101-250,High,Active,Private,"Houston, Texas, United States","Commercial Real Estate, Real Estate, Residential",Courthouse Square is a real estate company that provides residential and commercial services.,"1,337,740",,"1,293,280"
J. Connor Consulting,https://www.crunchbase.com/organization/j-connor-consulting,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Management Consulting, Oil and Gas, Professional Services","J. Connor Consulting offers regulatory, SEMS/HSE consulting, engineering, response plans, operations safety and compliance services.","1,339,756",,"1,295,266"
Prestigious Smiles Dentistry,https://www.crunchbase.com/organization/prestigious-smiles-dentistry,251-500,High,Active,Private,"Houston, Texas, United States","Dental, Health Care, Wellness","Prestigious Smiles Dentistry offers cosmetic dentistry, dental crowns, and emergency dental care services.","1,344,142",,"1,299,566"
First SOURCE Electrical,https://www.crunchbase.com/organization/first-source-electrical,501-1000,High,Active,Private,"Houston, Texas, United States","Electronics, Hardware, Manufacturing","First SOURCE Electrical is a wholesale company that offers electrical appliances, tools, parts, and accessories.","1,346,322",,"1,301,719"
HRSS,https://www.crunchbase.com/organization/hrss,101-250,High,Active,Private,"Houston, Texas, United States","Accounting, Consulting, Financial Services","HRSS is an accounting firm that provides audits, taxation, consultation and accounts services.","1,348,308",,"1,303,798"
OKT Lighting,https://www.crunchbase.com/organization/okt-lighting,101-250,High,Active,Private,"Houston, Texas, United States","Electronics, Lighting, Manufacturing, Product Design","OKT Lighting manufactures architectural-led lighting, linear lighting, and led commercial light fixtures.","1,352,456",,"1,307,729"
"The Doan Law Firm, P.C.",https://www.crunchbase.com/organization/the-doan-law-firm-p-c,101-250,High,Active,Private,"Houston, Texas, United States",,The Doan Law Firm is the best law firm in Texas for accidents caused by explosions.,"1,354,566",,"1,309,797"
Aivepet,https://www.crunchbase.com/organization/aivepet,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Oil and Gas, Training",Aivepet provides inspection services and hydrocarbon testing laboratory.,"1,377,964",,"1,333,005"
O'Drill/MCM,https://www.crunchbase.com/organization/o-drill-mcm,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Industrial, Manufacturing, Sales","O'Drill/MCM is a manufacturer of centrifugal pumps, valves, and solids separation equipment.","1,378,894",,"1,333,911"
SVS Soft Tech,https://www.crunchbase.com/organization/svs-soft-tech,251-500,High,Active,Private,"Houston, Texas, United States","Cyber Security, DevOps, Information Technology, Software","SVS Soft Tech offers IT solutions, software development, and IT consulting services, specializing in Pega BPM applications.","1,379,955",,"1,334,762"
Nagler Foot Center,https://www.crunchbase.com/organization/nagler-foot-center,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Health Diagnostics, Medical, Personal Health","Nagler Foot Center offers treatment for pediatric foot disorders like hammer-toe, arthritis, nerve entrapment, sprains and tendon ruptures.","1,381,916",,"1,336,893"
Willie's Restaurants,https://www.crunchbase.com/organization/willie-s-restaurants,501-1000,High,Active,Private,"Houston, Texas, United States",Food and Beverage,Willie's Restaurants is a restaurant offering casual dining services in Houston.,"1,384,043",,"1,338,800"
Petrolog Group,https://www.crunchbase.com/organization/petrolog-group,501-1000,High,Active,Private,"Houston, Texas, United States","Construction, Mechanical Engineering, Oil and Gas","Petrolog Group provides surface logging, diving support, pipelaying, surface logging, gas drilling, and pipeline engineering services.","1,386,665",,"1,341,389"
Microlink Networks,https://www.crunchbase.com/organization/microlink-networks,101-250,High,Active,Private,"Houston, Texas, United States","Internet of Things, IT Infrastructure, Manufacturing, Telecommunications","Microlink Networks manufactures IT infrastructure, data centers, and IoT products for the hospitality, security, and automation sectors.","1,389,313",,"1,343,994"
Marton Roofing Industries,https://www.crunchbase.com/organization/marton-roofing-industries,101-250,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Construction, Home Improvement","Marton Roofing Industries is a construction company that offers roofing, decking, sheet metal, affiliation and waterproofing services.","1,391,870",,"1,346,503"
Russell & Smith Honda,https://www.crunchbase.com/organization/russell-smith-honda,251-500,High,Active,Private,"Houston, Texas, United States","Automotive, Logistics",Russell & Smith Honda is an automotive company offering automobile sales and services.,"1,402,100",,"1,356,718"
One Nation Title,https://www.crunchbase.com/organization/one-nation-title,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Consulting, Financial Services, Residential","One Nation Title is a brokerage firm that provides residential, commercial, and refinancing solutions to its clients.","1,407,114",,"1,361,485"
Association of Commercial Real Estate Professionals,https://www.crunchbase.com/organization/association-of-commercial-real-estate-professionals,101-250,High,Active,Private,"Houston, Texas, United States","Association, Non Profit, Real Estate",ACRP is a professional organization fostering business relationships in real estate.,"1,408,272",,"1,362,808"
Mobil Steel International,https://www.crunchbase.com/organization/mobil-steel-international,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Industrial Engineering, Manufacturing",Mobil Steel International is a manufacturer of construction steel products.,"1,410,643",,"1,364,968"
"Perfomix, Inc. - Acquired by Baker Hughes",https://www.crunchbase.com/organization/perfomix-inc-acquired-by-baker-hughes,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Information Technology, Renewable Energy",Perfomix is an oil & energy company offering technology solutions.,"1,413,502",,"1,367,787"
Anglia Homes,https://www.crunchbase.com/organization/anglia-homes,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Property Management, Real Estate","Anglia Homes operate to provide their existing and future homeowners with the choice of location, design, quality, affordability and value.","1,414,356",,"1,368,620"
Robins Cloud LLP,https://www.crunchbase.com/organization/robins-cloud-llp,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Legal",Toler Law Group is a law firm offering legal services for personal injury cases.,"1,426,566",,"1,380,641"
Sullins Johnston Rohrbach & Magers,https://www.crunchbase.com/organization/sullins-johnston-rohrbach-magers,101-250,High,Active,Private,"Houston, Texas, United States","Law Enforcement, Legal, Professional Services","Sullins Johnston Rohrbach & Magers specializes in law practices, administrative law, transactional law, employment & professional services.","1,426,598",,"1,380,838"
Priority Artificial Lift Services,https://www.crunchbase.com/organization/priority-artificial-lift-services,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Oil and Gas",Priority Artificial Lift Services is a manufacturer of oilfield equipment that provides gas lift and training services.,"1,427,213",,"1,381,438"
Action-Com,https://www.crunchbase.com/organization/action-com,501-1000,High,Active,Private,"Houston, Texas, United States","Computer, Sales, Service Industry, Software",Action-Com is a computer peripherals and computer systems provider.,"1,430,516",,"1,384,528"
Rice Alliance for Technology and Entrepreneurship,https://www.crunchbase.com/organization/rice-alliance-for-technology-and-entrepreneurship,1001-5000,High,Active,Private,"Houston, Texas, United States","Education, Information Technology, Social Entrepreneurship",The Rice Alliance supports entrepreneurs and early-stage technology ventures in Houston and Texas through education.,"1,436,516",,"1,390,427"
SPS Drilling E&P,https://www.crunchbase.com/organization/sps-drilling-e-p,101-250,High,Active,Private,"Houston, Texas, United States","Construction, Industrial, Oil and Gas","SPS Drilling E&P provides drilling and power cable installation services for the oil, gas, and mining industries.","1,437,392",,"1,391,455"
Gulf South Pipeline,https://www.crunchbase.com/organization/gulf-south-pipeline,101-250,High,Active,Private,"Houston, Texas, United States","Customer Service, Energy, Oil and Gas, Transportation",Gulf South Pipeline is a natural gas pipeline system that transports gas.,"1,446,335",,"1,400,253"
ChildTrauma Academy,https://www.crunchbase.com/organization/childtrauma-academy,1001-5000,High,Active,Private,"Houston, Texas, United States","Children, Education, Non Profit, Training","The ChildTrauma Academy is a nonprofit improving the lives of traumatized children through education, training, and research.","1,452,226",,"1,405,883"
Assist-Med,https://www.crunchbase.com/organization/assist-med,251-500,High,Active,Private,"Houston, Texas, United States","Assisted Living, Health Care, Home Health Care, Medical",Assist-Med is a homecare agency that provides personal assistance for seniors and disabled children.,"1,455,707",,"1,409,477"
Gulf Coast Community Health Services,https://www.crunchbase.com/organization/gulf-coast-community-health-services,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Home Health Care, Hospital",Gulf Coast Community Health Services is a provider of home health care.,"1,472,628",,"1,425,976"
HooverSlovacek LLP,https://www.crunchbase.com/organization/hooverslovacek-llp,101-250,High,Active,Private,"Houston, Texas, United States",Consulting,HooverSlovacek LLP is a Houston-based full-service law firm.,"1,478,591",,"1,431,853"
Foster Fence Ltd,https://www.crunchbase.com/organization/foster-fence-ltd,101-250,High,Active,Private,"Houston, Texas, United States",Construction,"Foster Fence is a Houston fence company that serves industrial, government, and commercial markets in the Greater Houston metropolitan area.","1,482,604",,"1,435,996"
Retina Consultants of Houston,https://www.crunchbase.com/organization/retina-consultants-of-houston,101-250,High,Active,Private,"Houston, Texas, United States","Health Care, Medical",Retina Consultants of Houston is a medical practice company offering retinal disease treatments.,"1,484,211",,"1,437,574"
The Varnett Public School,https://www.crunchbase.com/organization/the-varnett-public-school,101-250,High,Active,Private,"Houston, Texas, United States","Charter Schools, Education, Primary Education, Secondary Education","The Varnett Public School is an award-winning, open-enrollment charter school that serves PK through 6th-grade students in the Houston area.","1,490,585",,"1,443,848"
Metelmex,https://www.crunchbase.com/organization/metelmex,101-250,High,Active,Private,"Houston, Texas, United States","Architecture, Industrial, Machinery Manufacturing, Manufacturing","Metelmex is a manufacturing company that provides architectural products, satellite tracking equipment, and steel bar grating products.","1,492,418",,"1,445,652"
Hi-Tech Electric,https://www.crunchbase.com/organization/hi-tech-electric,251-500,High,Active,Private,"Houston, Texas, United States","Commercial, Construction, Electronics, Industrial","Hi-Tech Electric provides electrical contracting services for industrial, commercial, and service environments.","1,494,071",,"1,447,104"
Cheyenne Center,https://www.crunchbase.com/organization/cheyenne-center,101-250,High,Active,Private,"Houston, Texas, United States","Addiction Treatment, Health Care, Non Profit, Rehabilitation",Cheyenne Center is a healthcare sector that offers addiction treatment.,"1,506,489",,"1,459,516"
WZI Flow Control,https://www.crunchbase.com/organization/wzi-flow-control,1001-5000,High,Active,Private,"Houston, Texas, United States","Industrial, Industrial Engineering, Industrial Manufacturing, Sales",WZI Flow Control produces and supplies control valve products.,"1,508,396",,"1,461,383"
Allied Powder Coating,https://www.crunchbase.com/organization/allied-powder-coating,101-250,High,Active,Private,"Houston, Texas, United States","Commercial, Industrial, Machinery Manufacturing, Residential","Allied Powder Coating provides metal refinishing services to industrial, commercial and residential clients.","1,508,541",,"1,461,350"
Patara Oil & Gas,https://www.crunchbase.com/organization/patara-oil-gas,101-250,High,Active,Private,"Houston, Texas, United States",Energy,Patara Oil & Gas.,"1,517,318",,"1,470,000"
Native Services,https://www.crunchbase.com/organization/native-services,101-250,High,Active,Private,"Houston, Texas, United States","Civil Engineering, Construction","Native Services is a construction company that specializes in mass excavation, underground utilities construction, and sitework services.","1,522,655",,"1,475,433"
Hayden Paving,https://www.crunchbase.com/organization/hayden-paving,101-250,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Civil Engineering, Construction, Project Management","Hayden Paving offers athletic and asphalt paving, erosion control, land clearing, embedded steel fabrication, grading, and deep excavation.","1,527,654",,"1,480,358"
CTG,https://www.crunchbase.com/organization/ctg-7814,101-250,High,Active,Private,"Houston, Texas, United States","Industrial, Manufacturing, Mechanical Engineering","CTG provides rubber molding, emergency manufacturing, CNC metal machining, and custom seal design services.","1,531,333",,"1,483,791"
Independent Professional Management,https://www.crunchbase.com/organization/independent-professional-management,251-500,High,Active,Private,"Houston, Texas, United States","Human Resources, Management Consulting, Recruiting, Staffing Agency",Independent Professional Management is a recruiting and consulting firm.,"1,536,441",,"1,489,014"
Western Litigation,https://www.crunchbase.com/organization/western-litigation,101-250,High,Active,Private,"Houston, Texas, United States",Health Care,Western Litigation is an insurance company providing healthcare claims management and risk management services.,"1,538,546",,"1,491,086"
"Bravo, Golden & Moore",https://www.crunchbase.com/organization/bravo-recovery,101-250,High,Active,Private,"Houston, Texas, United States","Collection Agency, Debt Collections, Finance","Bravo Recovery is a bad-debt recovery agency that provides collection, accounts receivable management and consulting services.","1,538,926",,"1,491,273"
Andergauge,https://www.crunchbase.com/organization/andergauge,101-250,High,Active,Private,"Houston, Texas, United States",Oil and Gas,Andergauge Drilling Systems provides a range of downhole drilling speciality tools designed for drilling optimisation.,"1,544,606",,"1,496,876"
Independence Marketing Group,https://www.crunchbase.com/organization/independence-marketing-group,501-1000,High,Active,Private,"Houston, Texas, United States","Health Care, Health Insurance, Insurance, Life Insurance","Independence Marketing Group offers medicare, life insurance, dental, vision, financial planning, and health insurance services.","1,551,284",,"1,503,631"
Incorpus TeleNetwork,https://www.crunchbase.com/organization/incorpus-telenetwork,251-500,High,Active,Private,"Houston, Texas, United States","Internet, Telecommunications, VoIP","Incorpus TeleNetwork provides Tele-networks services such as telemarketing, voice business, VoIP and telecommunication services.","1,559,439",,"1,511,661"
Pantex Ennerflo Systems,https://www.crunchbase.com/organization/pantex-ennerflo-systems,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Pantex Ennerflo Systems manufactures cooling water skids, lube oil consoles, hydraulic power units, and master control panels.","1,569,222",,"1,521,301"
Presensoft,https://www.crunchbase.com/organization/presensoft,101-250,High,Active,Private,"Houston, Texas, United States","Information Technology, Software","Presensoft Inc. has been a leading provider of cloud based Email, IM, & Social Media enterprise compliance solutions.","1,575,008",,"1,526,830"
Oakstreet Wealth Management,https://www.crunchbase.com/organization/oakstreet-wealth-management,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, Finance, Impact Investing","OakStreet Wealth Management delivers investment management, recordkeeping, and administration services.","1,576,834",,"1,528,777"
TA Textiles,https://www.crunchbase.com/organization/ta-textiles,101-250,High,Active,Private,"Houston, Texas, United States","Packaging Services, Secondhand Goods, Shipping, Textiles",TA Textiles is a textile company that specializes in grading and exporting recycled used clothes and wipers and provides shipping services.,"1,579,794",,"1,531,532"
Preferred Engineering,https://www.crunchbase.com/organization/preferred-engineering-l-p,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Renewable Energy",Preferred Engineering is an oil & energy company providing engineering and design services.,"1,586,675",,"1,538,494"
US Realty Associates,https://www.crunchbase.com/organization/us-realty-associates,1001-5000,High,Active,Private,"Houston, Texas, United States","Commercial, Real Estate, Residential",US Realty Associates is a real estate agency that provides buying and selling services for residential properties.,"1,587,544",,"1,539,352"
Interoperant,https://www.crunchbase.com/organization/interoperant,1001-5000,High,Active,Private,"Houston, Texas, United States","Analytics, Artificial Intelligence (AI), Big Data, Blockchain, Cloud Data Services, Consulting, Machine Learning, Software","Interoperant LLC offers AI-driven software design, EMR assessment, and cross-vertical solutions in various industries.","1,590,508",,"1,542,273"
Gorvelle,https://www.crunchbase.com/organization/gorvelle,101-250,High,Active,Private,"Houston, Texas, United States",,"Gorvelle is a telecommunications company that provides call recording, hold music, and softphone services.","1,608,122",,"1,559,458"
Smith Clinic,https://www.crunchbase.com/organization/smith-clinic,501-1000,High,Active,Private,"Houston, Texas, United States",Health Care,"Smith Clinic is a hospital & health care company offering rheumatology, internal medicine, and pathology solutions.","1,610,128",,"1,561,614"
Orbis Vascular,https://www.crunchbase.com/organization/orbis-vascular,101-250,High,Active,Private,"Houston, Texas, United States","Clinical Trials, Health Care, Hospital, Medical, Service Industry",Orbis Vascular is a medical clinic center for dialysis access care.,"1,612,072",,"1,563,527"
"Anslow Bryant Construction, Ltd.",https://www.crunchbase.com/organization/anslow-bryant-construction-ltd,101-250,High,Active,Private,"Houston, Texas, United States",Real Estate,"Anslow Bryant Construction, Ltd. is a construction company that provides design and construction services.","1,617,831",,"1,569,204"
Monterey Logistics,https://www.crunchbase.com/organization/monterey-logistics,101-250,High,Active,Private,"Houston, Texas, United States","Delivery, Freight Service, Logistics",Monterey Logistics is a freight management company that provides fleet tracking services.,"1,619,283",,"1,570,457"
GTS Geotech,https://www.crunchbase.com/organization/gts-geotech,101-250,High,Active,Private,"Houston, Texas, United States","Consulting, IT Management, Oil and Gas",GTS Geotech provides high-quality geotechnical support staff and expertise to the oil & gas industry.,"1,622,900",,"1,574,037"
Hotel Icon,https://www.crunchbase.com/organization/hotel-icon,101-250,High,Active,Private,"Houston, Texas, United States","Events, Hospitality, Hotel","Hotel Icon provides accommodation, guest rooms, suites, penthouse, room service, events, weddings, and dining services.","1,625,376",,"1,576,463"
Logik Precision,https://www.crunchbase.com/organization/logik-precision,101-250,High,Active,Private,"Houston, Texas, United States",Shopping,"Logik Precision is a full-service machine shop focused on welding and fabrication, water jet cutting, manual mills, and so on.","1,632,151",,"1,583,159"
Prime Executive Group,https://www.crunchbase.com/organization/prime-executive-group,101-250,High,Active,Private,"Houston, Texas, United States","Employment, Outsourcing, Recruiting, Staffing Agency",Prime Executive Group is a consulting company that provides skilled craftsmen and labor force for residential and commercial projects.,"1,632,188",,"1,583,188"
Hydrafab,https://www.crunchbase.com/organization/hydraulic-fabrication-services-inc,101-250,High,Active,Private,"Houston, Texas, United States","Foundries, Manufacturing, Oil and Gas, Product Design","Hydrafab is a designer and fabricator of process piping, pressure vessels, and modular applications.","1,638,260",,"1,589,196"
"S & B Infrastructure, Ltd.",https://www.crunchbase.com/organization/s-b-infrastructure-ltd,1001-5000,High,Active,Private,"Houston, Texas, United States",Consulting,"S & B Infrastructure, Ltd. is a Texas-based civil engineering firm.","1,641,714",,"1,592,562"
World Oil,https://www.crunchbase.com/organization/world-oil-ba8e,101-250,High,Active,Private,"Houston, Texas, United States","Local, Oil and Gas, Publishing, Service Industry","World Oil is a magazine that is published on monthly basis with editorial content of exploration, drilling, completion, and production.","1,647,935",,"1,598,875"
Industrial Metal Finishing,https://www.crunchbase.com/organization/industrial-metal-finishing,101-250,High,Active,Private,"Houston, Texas, United States","Building Material, Industrial Manufacturing, Machinery Manufacturing, Manufacturing","Industrial Metal Finishing provides spay coating, electroplating, and metal finishing services to various industries.","1,663,502",,"1,614,027"
Southwest Freight,https://www.crunchbase.com/organization/southwest-freight,101-250,High,Active,Private,"Houston, Texas, United States",Transportation,Southwest Freight is a family owned and operated transportation and warehousing company serving the Gulf Coast community since 1967.,"1,663,615",,"1,614,315"
Village Emergency Center,https://www.crunchbase.com/organization/village-emergency-center,101-250,High,Active,Private,"Houston, Texas, United States","Emergency Medicine, Health Care, Medical, Women's","Village Emergency Center provides orthopedic care, pain management, and pediatric emergency care services.","1,675,595",,"1,626,124"
books2taxes,https://www.crunchbase.com/organization/books2taxes,251-500,High,Active,Private,"Houston, Texas, United States","Accounting, Bookkeeping and Payroll, Tax Preparation","books2taxes is a provider of accounting, bookkeeping and tax preparation services.","1,682,020",,"1,632,439"
Icynene-Lapolla,https://www.crunchbase.com/organization/icynene-lapolla,101-250,High,Active,Private,"Houston, Texas, United States","Building Maintenance, Building Material, Manufacturing, Wholesale","Icynene-Lapolla is a manufacturer and supplier of polyurethane foam for roof coating and equipment, insulation, and roofing applications.","1,691,608",,"1,641,724"
Home Health Care Network,https://www.crunchbase.com/organization/home-health-care-network,251-500,High,Active,Private,"Houston, Texas, United States","Health Care, Home Health Care, Medical",Home Health Care Network is a Houston Texas based home health care agency.,"1,691,959",,"1,642,210"
BPR,https://www.crunchbase.com/organization/bpr-653c,251-500,High,Active,Private,"Houston, Texas, United States","Energy, Oil and Gas, Public Relations",BPR is a boutique public relations firm that focuses on the energy sector.,"1,702,181",,"1,652,126"
Migesa,https://www.crunchbase.com/organization/migesa-e255,1001-5000,High,Active,Private,"Houston, Texas, United States","Cloud Management, Consulting, Data Center, Information Technology, Technical Support","Migesa is an IT solutions company that provides consulting services, managed services, and technical support services.","1,705,036",,"1,655,115"
Sunbelt Hot Tubs,https://www.crunchbase.com/organization/sunbelt-hot-tubs,101-250,High,Active,Private,"Houston, Texas, United States","Manufacturing, Retail, Wholesale",Sunbelt Hot Tubs is a manufacturer and distributor of hot tubs and spas.,"1,706,697",,"1,656,578"
Outsource Research Consulting,https://www.crunchbase.com/organization/outsource-research-consulting,101-250,High,Active,Private,"Houston, Texas, United States","Management Consulting, Recruiting, Staffing Agency","Outsource Research Consulting is a personnel service organization that provides payroll solutions, staffing, and consulting services.","1,710,889",,"1,660,719"
Qualified Technical Services,https://www.crunchbase.com/organization/qualified-technical-services,101-250,High,Active,Private,"Houston, Texas, United States","Aerospace, Technical Support",Qualified Technical Services offers premier engineering and mission support services for the aviation and aerospace industries.,"1,721,941",,"1,671,607"
Municipal Accounts & Consulting,https://www.crunchbase.com/organization/municipal-accounts-consulting,101-250,High,Active,Private,"Houston, Texas, United States","Accounting, Consulting, Financial Services","Municipal Accounts & Consulting renders bookkeeping, financial, investment and consulting services.","1,723,282",,"1,672,932"
"ESCO Poducts, Inc",https://www.crunchbase.com/organization/esco-poducts-inc,101-250,High,Active,Private,"Houston, Texas, United States","Food and Beverage, Manufacturing, Renewable Energy",Esco Products provides service and solutions to maintenance and lubrication management and revenue is ranging from 320M - 500M.,"1,726,415",,"1,676,200"
GTS Engineering USA Incorporated,https://www.crunchbase.com/organization/gts-engineering-usa-incorporated,101-250,High,Active,Private,"Houston, Texas, United States","Energy, Manufacturing, Oil and Gas",GTS provides a product & plant life cycle management and support services.,"1,729,470",,"1,679,203"
E Griffin Group Real Estate,https://www.crunchbase.com/organization/e-griffin-group-real-estate,101-250,High,Active,Private,"Houston, Texas, United States","Leasing, Property Management, Real Estate Brokerage","E Griffin Group Real Estate is a real estate brokerage agency that offers property sales, leasing, and management services.","1,735,543",,"1,685,027"
Wood,https://www.crunchbase.com/organization/wood-group-psn,10001+,High,Active,Private,"Houston, Texas, United States",Manufacturing,"Wood Group is a provider of pre-operations, hook up and commissioning, operations and maintenance and engineering.","1,737,419",,"1,687,036"
The Gold Buying Girl,https://www.crunchbase.com/organization/the-gold-buying-girl,101-250,High,Active,Private,"Houston, Texas, United States","Jewelry, Precious Metals","The Gold Buying Girl purchases gold, silver, and platinum at high prices through home parties and fundraisers.","1,738,318",,"1,687,927"
Team1Medical,https://www.crunchbase.com/organization/team1medical,101-250,High,Active,Private,"Houston, Texas, United States","Human Resources, Recruiting, Staffing Agency",Team1Medical is a medical staffing agency that provides recruiting services for the healthcare sector.,"1,742,114",,"1,691,653"
LAKO Group,https://www.crunchbase.com/organization/lako-group,251-500,High,Active,Private,"Houston, Texas, United States","Business Development, Consulting, Management Consulting",LAKO Group develops a logical and accessible wholesale business to grow items for sale.,"1,769,804",,"1,718,949"
MIG Advisors,https://www.crunchbase.com/organization/mig-advisors,101-250,High,Active,Private,"Houston, Texas, United States","Advice, Business Development","MIG Advisors provides assessment valuation, business environment, benchmarking, transaction support, and commercial advisory services.","1,779,154",,"1,728,175"
Uscriptives,https://www.crunchbase.com/organization/uscriptives,1001-5000,High,Active,Private,"Houston, Texas, United States","E-Commerce, Health Care, Pharmaceutical, Sales",Uscriptives sells multivitamins and supplements.,"1,782,542",,"1,731,341"
XTRA Airways,https://www.crunchbase.com/organization/xtra-airways,251-500,High,Active,Private,"Houston, Texas, United States",Travel,XTRA Airways is an aviation & aerospace firm dealing in group air travel in commercial air charter market.,"1,784,706",,"1,733,637"
Gorman's Uniform,https://www.crunchbase.com/organization/gorman-s-uniform,101-250,High,Active,Private,"Houston, Texas, United States","Facilities Support Services, Fashion, Rental, Textiles","Gorman's Uniform offers garments and uniforms, floor mats, aprons and dusting tools on rental as well as an array of facility services.","1,788,264",,"1,736,971"
Aber Fence,https://www.crunchbase.com/organization/ab,101-250,High,Active,Private,"Houston, Texas, United States",Construction,"Aber Fence is an award-winning, nationally recognized fence company with an impressive portfolio of clients.","1,790,697",,"1,739,557"
HightenCapital,https://www.crunchbase.com/organization/hightencapital,251-500,High,Active,Private,"Houston, Texas, United States","Property Management, Real Estate Investment, Residential",HightenCapital is a real estate investment company.,"1,797,023",,"1,745,623"
