ok Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Headquarters Location,Company Type,Operating Status,Industries,Description,CB Rank (Organization),Stage,CB Rank (Company)
Confer Lending,https://www.crunchbase.com/organization/confer-lending,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Banking, Consumer Lending, Financial Services","Confer Lending delivers AI-driven lending solutions for banks and credit unions, focusing on personalization and data insights.","3,314,528",,"3,239,271"
Agxes,https://www.crunchbase.com/organization/agxes,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Agriculture, AgTech, Artificial Intelligence (AI), Software","Agxes offers AI-driven solutions for agricultural lending, optimizing loan workflows, and minimizing credit risk for agribusinesses.","3,369,042",,"3,291,907"
Behaix,https://www.crunchbase.com/organization/behaix,2024-05-20,day,"Boston, Massachusetts, United States",For Profit,Active,,Revolutionizing the gaming experience by enabling NPCs to interact and adapt like humans.,"3,403,977",,"3,325,401"
Nutchio,https://www.crunchbase.com/organization/nutchio,2025-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Food and Beverage, Snack Food",Clean-Label nut butter business,"3,444,463",,"3,364,075"
Rivalists,https://www.crunchbase.com/organization/rivalists,2023-07-01,day,"Boston, Massachusetts, United States",For Profit,Active,,Rivalists is an Athletic Care Software Platform.,"3,472,247",,"3,390,548"
Purefi Wealth,https://www.crunchbase.com/organization/purefi-wealth,2023-12-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Advice, Financial Services, Wealth Management","PUREfi Wealth is a financial company that offers financial planning, wealth, and investment advisory services.","3,512,777",,"3,428,995"
Rentwyze,https://www.crunchbase.com/organization/rentwyze,2023-10-01,day,"Boston, Massachusetts, United States",For Profit,Active,,Rentwyze is an online platform that develops and operates various items for renting.,"3,549,373",,"3,463,578"
Shmooze,https://www.crunchbase.com/organization/shmooze,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Marketing, Software",Event marketing strategy and execution automation,"3,587,157",,"3,499,374"
Renove.io,https://www.crunchbase.com/organization/renovated-io,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Apps, E-Commerce, Fashion, Retail","Renove.io is an online portal that helps to connect brands and designers to buy, sell, rent, auction, and trade fashion at one place.","3,589,200",,"3,501,304"
SpearPoint Digital,https://www.crunchbase.com/organization/spearpoint-digital,2023-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Advertising, Digital Marketing, Marketing",SpearPoint Digital LLC focuses on optimizing Google Ads for better results and efficient ad spend management.,"3,614,915",,"3,525,571"
Real Coast Properties,https://www.crunchbase.com/organization/real-coast-properties,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Real Estate, Real Estate Brokerage, Real Estate Investment","Real Coast Properties is a real estate firm that acquires, renovates, develops, and sells properties.","3,623,382",,"3,533,569"
ReactVision,https://www.crunchbase.com/organization/reactvision,2025-01-01,month,"Boston, Massachusetts, United States",For Profit,Active,,ReactVision is the home of open-source tools for building cross-platform AR and VR applications.,"3,627,148",,"3,537,142"
Commercial Real Estate Group,https://www.crunchbase.com/organization/commercial-real-estate-group-053c,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Real Estate, Real Estate Brokerage, Residential",Commercial Real Estate Group is a real estate agency that assists with buying and selling commercial and residential properties.,"3,629,630",,"3,539,494"
ScaleRedi,https://www.crunchbase.com/organization/scaleredi,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Accounting, Bookkeeping and Payroll, Tax Preparation","ScaleRedi is an accounting firm that offers financial metrics reporting, cash flow planning, and payroll processing services.","3,656,239",,"3,564,591"
Scriptome.AI,https://www.crunchbase.com/organization/scriptome-ai,2024-09-01,month,"Cambridge, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Consulting, Machine Learning","Scriptome.AI offers AI consulting and advisory services for small biotech companies, focusing on strategy, tools, and implementation.","3,661,457",,"3,569,518"
Webphore,https://www.crunchbase.com/organization/webphore,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Advertising, IT Infrastructure, Marketing, Small and Medium Businesses",Thrasio for Ad agencies. Webphore is tech-enabled ad agency for small businesses.,"3,793,754",,"3,693,352"
WealthTech Strategy Partners,https://www.crunchbase.com/organization/wealthtech-strategy-partners,2023-06-01,day,"Boston, Massachusetts, United States",For Profit,Active,"Banking, Information Technology, Wealth Management",The only investment bank focused solely on WealthTech,"3,798,108",,"3,697,405"
SEO Agency Boston,https://www.crunchbase.com/organization/seo-agency-boston,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Digital Marketing,Best SEO Agency in Boston,"3,834,615",,"3,731,199"
Phicil-itate Change,https://www.crunchbase.com/organization/phicil-itate-change,2024-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Advocacy, Artificial Intelligence (AI), Consulting, Health Care",Phicil-itate Change provides social innovation consulting and tech-enabled operational solutions for organizations.,"3,850,545",,"3,745,898"
Turnaround Consulting,https://www.crunchbase.com/organization/turnaround-consulting,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Brand Marketing, Creative Agency, Marketing","Turnaround Consulting offers Marketing Services, Branding, Marketing, Creative direction, and Creative Strategy.","3,866,189",,"3,760,325"
Student Helpers,https://www.crunchbase.com/organization/studenthelpers,2024-03-30,day,"Boston, Massachusetts, United States",For Profit,Active,"Marketplace, Software","We provide college students with flexible, well-paid work while ensuring homeowners and businesses have access to trusted, reliable help.","3,869,854",,"3,763,692"
Myer Capital,https://www.crunchbase.com/organization/myer-capital-41a5,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,Myer Capital offers a wide range of mortgage loans for consumers and investors.,"3,874,524",,"3,767,962"
Oyssey,https://www.crunchbase.com/organization/oyssey,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,Invite only home search platform with contract magic that creates custom buyer brokerage agreements as buyers search for homes.,"3,875,583",,"3,768,935"
ShieldForce,https://www.crunchbase.com/organization/shieldforce,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Cyber Security, Training","ShieldForce is an AI cybersecurity platform offering threat detection, email security, backups, recovery, and training.","3,903,377",,"3,794,343"
Vision Dentistry,https://www.crunchbase.com/organization/vision-dentistry,2023-03-01,month,"Boston, Massachusetts, United States",For Profit,Active,Medical,Foundational Platform Technology in Digital Dentistry,"3,904,157",,"3,795,059"
MKS Knife,https://www.crunchbase.com/organization/mks-knife,2025-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Home and Garden, Home Improvement, Retail",MKS Knife is a retail company that offers premium quality knives and cutlery.,"3,944,387",,"3,831,799"
Surrogacy.com,https://www.crunchbase.com/organization/surrogacy-com,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,Online community for surrogates and their supporters.,"3,952,886",,"3,839,588"
Karia Diamonds,https://www.crunchbase.com/organization/karia-diamonds,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"E-Commerce, Jewelry, Precious Metals","Karia Diamonds offers an online catalog of diamond products, jewelry, and ordering support.","3,976,056",,"3,860,781"
cactus,https://www.crunchbase.com/organization/cactus-ae32,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Developer Tools, Information Technology, Software","cactus.ai is a software development company that provides automating inventory, cost control, and revenue forecasting tools for restaurants.","3,981,832",,"3,866,076"
Canvas Without Borders,https://www.crunchbase.com/organization/canvas-without-borders,2024-02-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Advice, Artificial Intelligence (AI), Consulting, Generative AI","Canvas Without Borders offers consulting in product, GenAI, growth, and organizes art competitions and exhibitions.","3,987,252",,"3,871,039"
The Rational Workforce,https://www.crunchbase.com/organization/the-rational-workforce,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,,"The Rational Workforce is a new YouTube channel dedicated to looking at the news, people, policies, and programs.","3,989,817",,"3,873,360"
Life Enterprises,https://www.crunchbase.com/organization/life-enterprises,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), Information Technology, Wellness",Life Enterprises offers a social network prioritizing user control and campaigns to reduce opioid use disorder stigma.,"4,015,821",,"3,897,279"
Bookshift,https://www.crunchbase.com/organization/bookshift,2025-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), E-Learning, EdTech, Education, Information Technology, Web Apps",Bookshift offers AI-powered book summaries and a learning coach.,"4,017,525",,"3,898,810"
Tarn,https://www.crunchbase.com/organization/tarn,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Artificial Intelligence (AI), CRM, Data Management","Tarn helps Salesforce users automate and manage CRM data tasks by letting them update, query, summarize, and control records via AI prompts.","4,027,724",,"3,908,210"
Briggs Coffee Company,https://www.crunchbase.com/organization/briggs-coffee-company,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Coffee, E-Commerce, Manufacturing",Briggs Coffee Company provides compostable coffee pods and brewers designed to reduce plastic and aluminum waste.,"4,031,135",,"3,911,384"
Xeomics,https://www.crunchbase.com/organization/xeomics,2024-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Biotechnology, Consulting, Genetics",Xeomics is a biotechnology company that offers genomic testing and life science strategic consulting services.,"4,044,424",,"3,923,446"
View Boston,https://www.crunchbase.com/organization/view-boston,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,"Events, Rental Property, Tourism","View Boston offers a 360° observation deck, interactive exhibits, and dining atop the Prudential Tower.","4,045,252",,"3,924,230"
Ellis Bio,https://www.crunchbase.com/organization/ellis-bio,2023-01-01,year,"Cambridge, Massachusetts, United States",For Profit,Active,"Biotechnology, Life Science, Test and Measurement",Ellis Bio provides bisulfite conversion kits for DNA methylation analysis in genomic and epigenomic research.,"4,049,519",,"3,928,121"
First Time Founder Capital,https://www.crunchbase.com/organization/first-time-founder-capital,2023-01-01,year,"Boston, Massachusetts, United States",For Profit,Active,Consulting,"First Time Founder Capital is a fundraising consulting platform,","4,055,520",,"3,933,209"
Finteam,https://www.crunchbase.com/organization/finteam,2023-09-01,month,"Boston, Massachusetts, United States",For Profit,Active,"Accounting, Bookkeeping and Payroll, Consulting, Financial Services, FinTech, Tax Preparation","Finteam provides outsourced bookkeeping, AP/AR, payroll, tax, reporting, FP&A, and CFO support with integrations and workflows.","4,055,589",,"3,933,256"
GerardiAI LLC,https://www.crunchbase.com/organization/gerardiai-llc-5c17,2025-01-01,day,"Boston, Massachusetts, United States",For Profit,Active,"SaaS, Software","SaaS, Voice AI, CRM, Marketing Automation, Lead Generation, Appointment Scheduling, Payments, Construction Tech, Call Center, Field Service","4,055,795",,"3,933,425"
